Worksheet,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25,Column_26,Column_27,Column_28,Column_29,Column_30,Column_31,Column_32,Column_33
Analysis,SysAid Closed Tickets,nan,nan,nan,1st,2nd,3rd,nan,Simple Category Total,nan,nan,nan,Totals By Filter Criteria,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Analysis,Date Filters,nan,nan,Tech,ALL,ALL,ALL,1,Tech Tix,4633,12.446588183802277,nan,Tix by Tech & Department,nan,nan,nan,All Filters,nan,nan,nan,nan,nan,nan
Analysis,nan,nan,nan,Dept,ALL,ALL,ALL,1,Dept Tix,4633,12.446588183802277,nan,nan,4633,12.446588183802277,nan,4633,nan,12.446588183802277,nan,nan,nan,nan
Analysis,nan,nan,nan,Sub Category,ALL,ALL,ALL,1,Sub Cat Tix,4633,12.446588183802277,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Analysis,Ticket Creation Range,nan,nan,Time Slots,ALL,ALL,ALL,nan,T Slot Tix,4633,12.446588183802277,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Analysis,nan,nan,nan,nan,nan,nan,nan,1,nan,nan,nan,nan,Tix By Tech & Sub Category,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Analysis,Lower,Upper,nan,Day of Week,ALL,ALL,ALL,1,Days Total,4633,12.446588183802277,nan,nan,4633,12.446588183802277,nan,nan,nan,nan,nan,nan,nan,nan
Analysis,2010-01-01 00:00:00,2025-07-21 00:00:00,nan,nan,ALL,ALL,ALL,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Analysis,Ticket Close Range,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Analysis,Lower,Upper,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Analysis,2010-01-01 00:00:00,2025-07-21 00:00:00,nan,nan,IT - SSC,nan,nan,nan,IT - Stores,nan,nan,nan,Ops,nan,nan,nan,Customers,nan,nan,nan,HR,nan,nan
Analysis,# Tix,Avg Age,nan,nan,Total,Filtered,Avg Age,nan,Total,Filtered,Avg Age,nan,Total,Filtered,Avg Age,nan,Total,Filtered,Avg Age,nan,Total,Filtered,Avg Age
Analysis,25,23.600194444443623,nan,Ballast,0,0,0,nan,0,0,0,nan,25,25,23.600194444443623,nan,0,0,0,nan,0,0,0
Analysis,30,51.83754629629621,nan,Comebacks,0,0,0,nan,0,0,0,nan,30,30,51.83754629629621,nan,0,0,0,nan,0,0,0
